Date;Electric;Cold_Water;Hot_Water;Sum
22.10.2019;2582;199;195;2472
22.11.2019;2692;205;201;2313
22.12.2019;2800;212;209;2807
22.01.2020;2906;218;217;2730
22.02.2020;3010;225;223;2347
22.03.2020;3111;231;230;2483
22.04.2020;3225;239;237;2688
22.05.2020;3338;245;242;2111
22.06.2020;3456;250;245;1634
22.07.2020;3572;257;247;1536
22.08.2020;3699;264;251;2035
22.09.2020;3813;272;257;2469
22.10.2020;3934;280;263;2507
22.11.2020;4054;288;269;2501
22.12.2020;4163;295;275;2374
22.01.2021;4353;302;282;3037
